index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
135,1.630188883,-0.014737274,0.220266222,0.678520805,-0.961600446,2.441237579,-0.489410315,-0.445511391,0.792798182,0.050832987
136,2.169530213,0.724127807,0.133889133,0.106984766,0.701351835,0.974750152,-1.05566208,0.149025096,-0.321873395,-0.027837602
137,1.333751156,-0.474535726,0.499484769,0.892559666,-1.091360515,0.186710834,1.233523134,-0.628750388,-1.062247856,0.36332005
138,-0.725194587,-1.675225583,-0.774426112,0.551089317,0.494920203,-0.734670388,0.155066018,0.079865169,0.190066421,0.022520896
139,1.129390552,-1.82647378,0.077624284,-1.239988728,-0.248354128,1.368781131,-0.909040481,-0.321097302,-0.01068149,0.013264904
140,-2.217926093,-1.48400419,0.201335552,0.132071441,0.524726842,-0.293523903,-0.189275503,-0.110167401,0.129904326,0.434089059
141,1.993403153,0.571842322,1.077980693,0.537281772,1.248804979,-0.108089537,-0.382627056,-0.331330286,-0.118422248,-0.108735185
142,2.121473092,-0.534594563,0.247326748,0.898714796,-1.131498968,0.24482633,1.290773808,0.028091859,-1.138465013,-0.050018069
143,1.603604996,-2.013459996,0.414986581,-0.381611485,0.31729609,0.053407193,0.122784021,0.140632184,0.039953189,0.023654253
144,-1.157035816,0.4644867,4.653755103,0.704968943,-0.743440442,2.887103765,0.532676713,2.341999805,0.302887934,0.042114371
145,2.005764423,1.056341704,0.626128074,-0.64359795,0.194050306,-0.634490469,0.110158222,0.090190399,0.365354289,0.051917167
146,-1.222071727,-1.577359645,-1.089199201,0.417808309,0.52297553,-0.5393256,-0.115706033,-0.035865419,0.145957942,0.496531446
147,-1.020234219,-0.138628602,-0.760903863,1.689760189,-0.952878471,-0.484759708,1.030859839,-0.681648923,-0.931051504,0.368465781
148,-1.227676901,2.036124717,-0.313342348,0.240272037,-1.597413209,1.177550394,0.054147129,1.595858337,0.030555202,0.179598405
149,0.05357711,0.883967429,-0.13763226,1.184774782,1.288584716,-0.478480974,-0.387609322,-0.288210917,-0.018425192,-0.579448483
150,-0.398660142,-1.750066238,-0.405404982,0.48907843,0.439095267,-0.734975808,0.274530387,-0.016709049,0.243212571,-0.4710567
151,-1.425768555,-0.357002006,1.144265182,0.071235712,0.526431173,-0.723936437,0.167484996,-0.653883358,-0.87147779,-0.692853442
152,1.464773438,0.116703774,0.709580022,-2.039956044,-0.914087535,-1.761357455,0.952019751,-0.21049604,-0.348432116,0.037247794
153,-3.044159702,0.910550571,2.651038889,-1.810455283,-0.620614134,-0.320312637,0.091848312,0.156259044,-0.43131412,-0.58329154
154,-0.744615045,1.000762921,-0.720680719,1.254336512,1.226580328,-0.422949822,-0.865496547,-0.319097727,-0.112015737,0.394247265
155,-0.890077883,1.486242957,0.523949207,-0.511073512,0.321813663,-0.649646321,-0.32744589,0.2037265,0.441979361,-0.460610091
